Coin,Symbol,Trend Emoji,Trend,24h Change,Current Price,Market Cap,24h Volume,Global Rank,ATH Insight,24h Range,Volatility,Chart Link,updated_at_raw,updated_at,current_price_numeric,market_cap_numeric,volume_24h_numeric,price_change_24h_numeric,global_rank_numeric,time_diff_minutes,interval_gap_flag,gap_category,pipeline_type
Aave,AAVE,⚖️,Sideways ⚖️,-0.034,"₹27,564","₹4,18,91,15,02,702","₹77,37,52,93,316 🔺",37,🔴 Far Below ATH,⚖️ In the Middle (25.1%),🟩 Low Volatility,https://www.coingecko.com/en/coins/aave,2025-07-17 23:43:56,2025-07-17 23:43:56,27564.0,418911502702.0,77375293316.0,-0.034,37.0,,False,first_record,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,-0.0317,"₹27,628","₹4,19,86,60,41,971","₹77,02,06,34,734 🔺",37,🔴 Far Below ATH,⚖️ In the Middle (29.8%),🟩 Low Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 00:01:03,2025-07-18 00:01:03,27628.0,419866041971.0,77020634734.0,-0.0317,37.0,17.116666666666667,True,15_30_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,-0.0468,"₹27,164","₹4,12,69,92,63,205","₹76,07,51,65,030 🔺",37,🔴 Far Below ATH,🔽 Near 24h Low (10.9%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 02:10:24,2025-07-18 02:10:24,27164.0,412699263205.0,76075165030.0,-0.0468,37.0,129.35,True,>60_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,-0.0431,"₹27,222","₹4,12,73,90,27,948","₹61,97,25,40,968 🔺",37,🔴 Far Below ATH,🔽 Near 24h Low (14.7%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 02:16:22,2025-07-18 02:16:22,27222.0,412739027948.0,61972540968.0,-0.0431,37.0,5.966666666666667,False,<=15_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,0.0339,"₹28,165","₹4,27,41,70,28,451","₹90,89,02,57,590 🔺",37,🔴 Far Below ATH,🔼 Near 24h High (81.3%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 09:30:57,2025-07-18 09:30:57,28165.0,427417028451.0,90890257590.0,0.0339,37.0,434.5833333333333,True,>60_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,0.0433,"₹28,548","₹4,33,94,65,54,571","₹94,11,96,19,037 🔺",37,🔴 Far Below ATH,🔼 Near 24h High (99.8%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 10:16:09,2025-07-18 10:16:09,28548.0,433946554571.0,94119619037.0,0.0433,37.0,45.2,True,46_60_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,0.0394,"₹28,525","₹4,32,80,59,91,843","₹94,95,91,70,217 🔺",37,🔴 Far Below ATH,🔼 Near 24h High (98.3%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 10:30:57,2025-07-18 10:30:57,28525.0,432805991843.0,94959170217.0,0.0394,37.0,14.8,False,<=15_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,0.0421,"₹28,636","₹4,34,73,28,43,699","₹96,24,54,64,990 🔺",37,🔴 Far Below ATH,🔼 Near 24h High (100.0%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 10:45:57,2025-07-18 10:45:57,28636.0,434732843699.0,96245464990.0,0.0421,37.0,15.0,False,<=15_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,0.0398,"₹28,627","₹4,35,18,29,59,077","₹97,19,82,96,291 🔺",37,🔴 Far Below ATH,🔼 Near 24h High (99.3%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 11:00:58,2025-07-18 11:00:58,28627.0,435182959077.0,97198296291.0,0.0398,37.0,15.016666666666667,True,15_30_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,0.0394,"₹28,647","₹4,35,18,27,56,777","₹98,28,33,49,626 🔺",37,🔴 Far Below ATH,🔼 Near 24h High (100.0%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 11:15:57,2025-07-18 11:15:57,28647.0,435182756777.0,98283349626.0,0.0394,37.0,14.983333333333333,False,<=15_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,0.0435,"₹28,772","₹4,36,92,41,20,359","₹99,62,89,27,286 🔺",37,🔴 Far Below ATH,🔼 Near 24h High (100.0%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 11:30:57,2025-07-18 11:30:57,28772.0,436924120359.0,99628927286.0,0.0435,37.0,15.0,False,<=15_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,0.0411,"₹28,718","₹4,38,15,33,81,444","₹1,00,45,27,84,375 🔺",37,🔴 Far Below ATH,🔼 Near 24h High (92.5%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 11:45:58,2025-07-18 11:45:58,28718.0,438153381444.0,100452784375.0,0.0411,37.0,15.016666666666667,True,15_30_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,0.0307,"₹28,522","₹4,34,22,08,22,331","₹1,03,28,98,50,430 🔺",37,🔴 Far Below ATH,⚖️ In the Middle (77.8%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-18 14:09:02,2025-07-18 14:09:02,28522.0,434220822331.0,103289850430.0,0.0307,37.0,143.06666666666666,True,>60_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,-0.0429,"₹27,496","₹4,17,89,76,79,704","₹89,79,33,74,380 🔺",37,🔴 Far Below ATH,⚖️ In the Middle (24.6%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-19 12:04:45,2025-07-19 12:04:45,27496.0,417897679704.0,89793374380.0,-0.0429,37.0,1315.7166666666667,True,>60_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,-0.0445,"₹27,474","₹4,17,78,19,33,330","₹89,37,76,45,859 🔺",37,🔴 Far Below ATH,⚖️ In the Middle (23.4%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-19 12:17:12,2025-07-19 12:17:12,27474.0,417781933330.0,89377645859.0,-0.0445,37.0,12.45,False,<=15_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,-0.0388,"₹27,309","₹4,15,06,93,72,924","₹84,39,39,90,166 🔺",37,🔴 Far Below ATH,🔽 Near 24h Low (17.9%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-19 13:27:24,2025-07-19 13:27:24,27309.0,415069372924.0,84393990166.0,-0.0388,37.0,70.2,True,>60_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,-0.04,"₹27,258","₹4,14,26,79,64,128","₹83,49,44,19,043 🔺",37,🔴 Far Below ATH,🔽 Near 24h Low (14.8%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-19 13:44:36,2025-07-19 13:44:36,27258.0,414267964128.0,83494419043.0,-0.04,37.0,17.2,True,15_30_min,n8n_local
Aave,AAVE,📉,Bearish ❄️,-0.0515,"₹27,134","₹4,12,49,59,23,248","₹83,02,93,64,011 🔺",37,🔴 Far Below ATH,🔽 Near 24h Low (7.1%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-19 14:00:07,2025-07-19 14:00:07,27134.0,412495923248.0,83029364011.0,-0.0515,37.0,15.516666666666667,True,15_30_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,-0.0423,"₹27,117","₹4,12,12,32,43,517","₹80,96,09,91,602 🔺",37,🔴 Far Below ATH,🔽 Near 24h Low (6.0%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-19 14:43:57,2025-07-19 14:43:57,27117.0,412123243517.0,80960991602.0,-0.0423,37.0,43.833333333333336,True,31_45_min,n8n_local
Aave,AAVE,⚖️,Sideways ⚖️,-0.041,"₹27,184","₹4,13,19,14,55,599","₹79,71,04,05,371 🔺",37,🔴 Far Below ATH,🔽 Near 24h Low (10.2%),🟦 Medium Volatility,https://www.coingecko.com/en/coins/aave,2025-07-19 15:16:31,2025-07-19 15:16:31,27184.0,413191455599.0,79710405371.0,-0.041,37.0,32.56666666666667,True,31_45_min,n8n_local
